gender,age,job,marital,education,default,housing,loan,contact,term_deposit
male,29,self-employed,single,university.degree,no,no,no,telephone,no
female,45,blue-collar,married,basic.9y,no,yes,no,telephone,no
male,32,housemaid,single,basic.4y,no,yes,yes,telephone,no
male,26,services,single,high.school,no,no,yes,telephone,no
female,47,entrepreneur,married,university.degree,no,yes,no,telephone,no
female,29,admin.,single,university.degree,no,yes,no,telephone,no
male,26,services,single,high.school,no,yes,no,telephone,no
male,46,blue-collar,married,basic.4y,no,no,no,telephone,no
female,48,technician,married,professional.course,no,yes,no,telephone,no
male,48,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,33,self-employed,married,basic.9y,no,yes,no,telephone,no
male,31,blue-collar,married,basic.9y,no,yes,yes,telephone,no
female,34,blue-collar,married,professional.course,no,yes,no,telephone,no
female,25,services,single,high.school,yes,no,no,telephone,no
male,32,blue-collar,married,basic.9y,no,no,no,telephone,no
male,54,blue-collar,unknown,basic.6y,yes,no,no,telephone,no
male,52,self-employed,married,university.degree,yes,yes,yes,telephone,no
female,45,housemaid,single,basic.9y,no,yes,no,telephone,no
female,36,self-employed,married,university.degree,no,yes,no,telephone,no
male,38,admin.,divorced,university.degree,no,yes,no,telephone,no
female,34,blue-collar,married,basic.6y,yes,no,no,telephone,no
male,38,blue-collar,single,basic.4y,no,yes,no,telephone,no
male,39,services,single,high.school,yes,yes,no,telephone,no
female,51,services,married,high.school,yes,yes,no,telephone,no
female,60,unknown,married,university.degree,no,yes,no,telephone,no
male,29,blue-collar,married,high.school,no,no,no,telephone,no
male,50,blue-collar,single,basic.9y,yes,no,no,telephone,no
female,37,technician,married,basic.9y,no,no,no,telephone,no
male,51,entrepreneur,divorced,university.degree,yes,no,no,telephone,no
female,48,technician,married,professional.course,no,yes,no,telephone,no
female,39,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,37,admin.,single,university.degree,no,yes,no,telephone,no
female,36,technician,married,university.degree,no,yes,no,telephone,no
male,40,services,married,basic.6y,yes,yes,no,telephone,no
female,47,management,married,basic.4y,no,no,yes,telephone,no
male,44,blue-collar,married,basic.4y,yes,yes,no,telephone,no
male,36,blue-collar,single,high.school,no,yes,yes,telephone,no
female,26,technician,married,basic.6y,no,no,no,telephone,no
male,33,admin.,married,university.degree,no,no,yes,telephone,no
female,52,housemaid,married,basic.4y,yes,yes,no,telephone,no
male,40,blue-collar,married,basic.9y,yes,yes,yes,telephone,no
male,41,blue-collar,married,basic.9y,no,yes,no,telephone,no
male,45,admin.,married,university.degree,no,yes,no,telephone,no
female,30,blue-collar,divorced,basic.9y,no,no,no,telephone,no
male,33,technician,married,professional.course,no,no,no,telephone,no
male,39,admin.,single,unknown,no,no,yes,telephone,no
female,33,management,married,university.degree,no,no,no,telephone,no
male,31,blue-collar,single,unknown,no,yes,no,telephone,no
male,42,technician,divorced,basic.9y,no,yes,no,telephone,no
female,35,entrepreneur,divorced,high.school,no,yes,no,telephone,no
female,56,retired,married,basic.6y,no,yes,yes,telephone,no
male,52,blue-collar,married,basic.9y,yes,yes,yes,telephone,no
female,29,admin.,single,university.degree,no,no,no,telephone,yes
female,56,retired,married,basic.4y,no,yes,no,telephone,no
male,38,admin.,married,basic.9y,yes,yes,no,telephone,no
female,60,technician,married,professional.course,yes,yes,no,telephone,no
male,56,services,married,basic.4y,yes,yes,no,telephone,no
male,39,self-employed,married,university.degree,no,no,yes,telephone,no
male,40,services,married,basic.6y,yes,no,no,telephone,no
female,56,services,married,basic.4y,yes,yes,yes,telephone,no
female,30,blue-collar,single,basic.4y,yes,no,yes,telephone,no
male,43,blue-collar,married,basic.4y,yes,no,yes,telephone,no
female,39,admin.,married,high.school,no,no,yes,telephone,no
male,41,unknown,single,basic.6y,yes,no,yes,telephone,no
female,27,admin.,single,high.school,yes,yes,no,telephone,no
male,43,technician,divorced,professional.course,no,yes,no,telephone,no
male,37,technician,married,professional.course,yes,yes,no,telephone,no
male,25,services,married,high.school,no,yes,no,telephone,no
female,37,technician,married,professional.course,yes,no,yes,telephone,no
male,24,admin.,single,professional.course,no,yes,yes,telephone,no
female,59,retired,married,basic.4y,no,yes,yes,telephone,no
female,32,technician,single,university.degree,no,no,no,telephone,no
female,30,admin.,married,unknown,no,yes,yes,telephone,no
male,40,technician,married,professional.course,no,yes,no,telephone,no
male,27,services,married,high.school,no,no,no,telephone,no
male,30,blue-collar,single,basic.4y,yes,no,no,telephone,yes
male,48,blue-collar,married,basic.4y,no,no,no,telephone,no
female,37,admin.,divorced,university.degree,no,no,no,telephone,no
male,39,blue-collar,married,basic.6y,no,yes,no,telephone,no
female,34,admin.,married,basic.9y,no,yes,no,telephone,no
female,41,blue-collar,divorced,basic.6y,no,yes,no,telephone,no
male,34,admin.,married,high.school,no,no,no,telephone,no
female,36,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,37,admin.,divorced,university.degree,no,yes,no,telephone,no
male,42,services,married,high.school,no,no,yes,telephone,no
male,39,technician,married,professional.course,no,yes,no,telephone,no
male,39,services,married,high.school,no,yes,yes,telephone,no
male,35,admin.,married,high.school,no,yes,yes,telephone,no
female,35,unemployed,divorced,high.school,yes,yes,no,telephone,no
female,34,blue-collar,married,basic.6y,yes,no,yes,telephone,no
female,42,technician,single,basic.9y,yes,no,no,telephone,no
female,49,admin.,divorced,high.school,no,yes,no,telephone,no
female,53,admin.,single,basic.6y,no,yes,no,telephone,no
female,29,admin.,married,high.school,no,no,no,telephone,no
male,32,blue-collar,married,basic.9y,yes,no,no,telephone,no
female,29,admin.,married,high.school,no,no,no,telephone,no
female,46,self-employed,divorced,basic.9y,no,yes,no,telephone,no
female,58,management,married,unknown,yes,yes,no,telephone,no
female,32,admin.,single,university.degree,no,yes,yes,telephone,no
male,44,blue-collar,married,basic.6y,no,yes,no,telephone,no
female,26,student,single,high.school,no,no,no,telephone,yes
female,56,technician,divorced,professional.course,yes,yes,no,telephone,no
female,25,blue-collar,married,professional.course,yes,yes,no,telephone,no
male,29,blue-collar,single,basic.9y,no,no,no,telephone,no
male,44,blue-collar,married,professional.course,no,no,no,telephone,no
female,44,technician,divorced,professional.course,no,yes,no,telephone,no
male,44,blue-collar,single,basic.4y,no,no,no,telephone,no
male,44,blue-collar,single,basic.4y,no,yes,no,telephone,no
female,29,blue-collar,single,basic.9y,no,no,no,telephone,no
male,37,blue-collar,married,professional.course,no,yes,no,telephone,no
male,34,self-employed,married,university.degree,no,no,no,telephone,no
female,54,blue-collar,married,basic.9y,yes,yes,yes,telephone,no
female,58,retired,divorced,professional.course,yes,no,no,telephone,no
female,24,services,single,high.school,no,no,no,telephone,yes
male,35,technician,married,professional.course,no,yes,yes,telephone,no
male,30,admin.,divorced,high.school,no,yes,no,telephone,no
female,40,technician,married,professional.course,yes,no,no,telephone,no
male,29,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,54,technician,single,basic.9y,no,no,no,telephone,no
male,40,technician,married,professional.course,yes,yes,no,telephone,no
male,52,management,divorced,university.degree,no,yes,no,telephone,no
male,44,blue-collar,single,basic.6y,yes,yes,no,telephone,no
female,34,blue-collar,married,professional.course,no,yes,yes,telephone,no
female,31,admin.,single,university.degree,no,no,no,telephone,no
male,30,admin.,single,high.school,no,yes,no,telephone,no
female,36,technician,married,professional.course,no,yes,yes,telephone,no
male,26,student,single,high.school,no,no,no,telephone,no
male,36,technician,married,professional.course,no,no,no,telephone,no
male,36,technician,married,professional.course,no,no,no,telephone,no
female,40,housemaid,single,university.degree,no,yes,no,telephone,no
male,46,admin.,single,university.degree,yes,yes,no,telephone,no
female,34,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,46,entrepreneur,married,professional.course,yes,no,no,telephone,no
male,27,technician,single,professional.course,no,yes,yes,telephone,no
female,36,entrepreneur,married,high.school,no,yes,no,telephone,no
female,50,management,married,high.school,yes,no,no,telephone,no
female,28,blue-collar,married,basic.4y,no,no,no,telephone,no
female,34,admin.,married,university.degree,no,yes,no,telephone,no
male,41,blue-collar,single,basic.9y,no,no,no,telephone,no
female,41,technician,single,university.degree,yes,yes,yes,telephone,no
male,40,housemaid,married,high.school,yes,yes,no,telephone,no
male,25,blue-collar,single,basic.4y,no,yes,yes,telephone,no
male,43,admin.,married,university.degree,yes,yes,no,telephone,no
male,35,admin.,married,high.school,no,no,no,telephone,no
male,38,self-employed,married,basic.9y,yes,no,no,telephone,no
male,45,self-employed,divorced,university.degree,no,yes,yes,telephone,no
female,32,technician,married,professional.course,no,yes,no,telephone,no
male,51,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,33,technician,single,high.school,no,no,no,telephone,no
male,39,self-employed,married,basic.4y,yes,no,no,telephone,no
male,56,entrepreneur,divorced,university.degree,no,no,yes,telephone,no
female,35,blue-collar,married,basic.9y,yes,yes,yes,telephone,no
female,57,retired,married,basic.4y,yes,no,yes,telephone,no
male,54,unemployed,single,basic.6y,no,yes,yes,telephone,no
female,49,blue-collar,single,basic.4y,no,no,no,telephone,no
male,40,technician,married,professional.course,no,no,no,telephone,no
male,33,management,married,high.school,no,no,yes,telephone,no
male,33,unemployed,single,high.school,no,yes,no,telephone,no
male,24,services,single,high.school,no,yes,yes,telephone,no
female,25,technician,single,high.school,no,yes,yes,telephone,no
male,34,services,married,basic.9y,no,yes,no,telephone,no
female,37,unemployed,single,basic.9y,no,yes,no,telephone,no
female,39,management,married,university.degree,no,yes,no,telephone,no
male,32,technician,single,professional.course,no,no,no,telephone,no
female,34,admin.,married,high.school,no,yes,no,telephone,yes
female,25,services,single,high.school,no,yes,no,telephone,no
female,32,admin.,single,professional.course,no,no,yes,telephone,no
male,29,blue-collar,married,basic.4y,no,no,yes,telephone,no
male,59,housemaid,married,basic.4y,no,no,yes,telephone,no
male,39,self-employed,married,basic.9y,yes,no,no,telephone,no
male,35,technician,married,university.degree,no,no,no,telephone,no
female,33,technician,married,basic.9y,no,no,no,telephone,no
male,25,technician,single,professional.course,no,yes,no,telephone,no
male,60,management,married,unknown,yes,no,no,telephone,no
male,44,technician,married,basic.6y,yes,yes,no,telephone,no
male,31,blue-collar,married,basic.4y,no,yes,yes,telephone,no
female,36,technician,married,university.degree,no,yes,no,telephone,no
male,30,services,married,university.degree,yes,no,yes,telephone,no
male,36,technician,married,high.school,no,no,no,telephone,yes
female,53,blue-collar,married,basic.4y,no,no,yes,telephone,no
female,40,unemployed,married,high.school,no,yes,no,telephone,no
female,48,unemployed,married,basic.9y,no,yes,no,telephone,no
male,36,admin.,married,university.degree,no,no,no,telephone,no
male,47,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,28,admin.,single,basic.9y,no,no,no,telephone,no
female,31,blue-collar,married,basic.6y,no,no,no,telephone,no
female,58,technician,married,basic.4y,no,no,no,telephone,no
female,36,admin.,single,high.school,no,no,no,telephone,no
female,34,admin.,single,high.school,no,yes,yes,telephone,no
female,34,technician,married,university.degree,no,no,no,telephone,no
female,44,admin.,married,university.degree,yes,no,no,telephone,no
male,33,services,divorced,high.school,no,yes,no,telephone,no
female,29,blue-collar,married,basic.9y,no,no,no,telephone,no
female,36,blue-collar,single,basic.9y,yes,no,no,telephone,no
female,43,admin.,single,high.school,no,no,no,telephone,no
female,32,services,married,unknown,no,no,no,telephone,no
male,46,admin.,single,university.degree,no,yes,no,telephone,no
male,50,technician,married,professional.course,no,no,yes,telephone,no
male,41,blue-collar,single,basic.9y,yes,no,no,telephone,no
male,38,blue-collar,married,basic.6y,no,no,no,telephone,no
female,41,management,married,high.school,no,yes,no,telephone,no
male,49,blue-collar,married,basic.9y,no,yes,yes,telephone,no
male,38,technician,married,high.school,no,no,no,telephone,no
male,50,services,single,basic.4y,no,no,no,telephone,no
female,53,blue-collar,single,basic.9y,no,yes,no,telephone,no
female,39,admin.,married,university.degree,no,yes,no,telephone,no
male,43,management,married,basic.4y,no,yes,no,telephone,no
female,41,services,single,high.school,no,no,no,telephone,no
female,32,blue-collar,married,high.school,no,yes,no,telephone,no
female,31,admin.,married,high.school,no,no,no,telephone,no
male,29,self-employed,married,high.school,no,no,no,telephone,no
female,52,entrepreneur,married,basic.9y,yes,no,no,telephone,no
male,58,unknown,married,basic.4y,no,yes,no,telephone,no
female,47,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,45,admin.,married,high.school,no,no,no,telephone,no
female,45,technician,married,high.school,no,yes,no,telephone,no
female,37,blue-collar,married,high.school,no,yes,no,telephone,no
male,49,entrepreneur,married,university.degree,no,no,no,telephone,no
female,26,technician,married,professional.course,no,no,no,telephone,no
male,40,blue-collar,married,basic.6y,no,no,no,telephone,no
female,32,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,30,blue-collar,single,basic.4y,no,no,no,telephone,no
male,60,management,married,university.degree,no,no,no,telephone,no
male,39,admin.,single,university.degree,yes,yes,no,telephone,no
female,35,blue-collar,married,basic.9y,no,no,yes,telephone,no
male,32,admin.,single,high.school,no,no,no,telephone,no
male,28,entrepreneur,single,high.school,no,yes,no,telephone,no
female,48,admin.,married,high.school,yes,yes,no,telephone,no
female,46,admin.,married,high.school,yes,yes,no,telephone,no
female,26,admin.,single,high.school,no,yes,no,telephone,no
female,28,blue-collar,married,basic.6y,yes,yes,no,telephone,no
male,52,unknown,married,basic.4y,no,no,yes,telephone,no
female,29,blue-collar,single,high.school,yes,no,no,telephone,no
male,38,technician,married,professional.course,no,yes,no,telephone,yes
male,42,services,divorced,basic.6y,no,no,no,telephone,no
female,36,admin.,married,university.degree,no,yes,no,telephone,no
male,27,entrepreneur,single,university.degree,no,yes,no,telephone,yes
female,47,blue-collar,married,high.school,yes,yes,no,telephone,no
female,54,housemaid,married,professional.course,no,yes,no,telephone,no
female,32,blue-collar,single,basic.9y,no,yes,no,telephone,no
female,42,blue-collar,married,basic.9y,no,no,no,telephone,no
male,39,self-employed,married,university.degree,no,no,no,telephone,no
male,37,blue-collar,unknown,basic.6y,yes,no,no,telephone,no
male,25,blue-collar,divorced,basic.9y,no,yes,yes,telephone,no
male,34,management,single,high.school,no,yes,no,telephone,no
male,41,blue-collar,divorced,basic.9y,yes,no,no,telephone,no
female,40,blue-collar,married,basic.4y,no,no,no,telephone,no
female,26,blue-collar,single,high.school,yes,no,no,telephone,no
female,49,admin.,single,university.degree,yes,yes,no,telephone,no
male,60,retired,divorced,basic.4y,yes,yes,no,telephone,no
male,42,blue-collar,single,basic.9y,no,no,no,telephone,no
male,35,blue-collar,married,high.school,yes,no,no,telephone,no
male,30,admin.,married,high.school,yes,yes,no,telephone,no
male,42,blue-collar,married,basic.9y,yes,yes,no,telephone,no
female,39,admin.,single,university.degree,no,yes,no,telephone,no
male,25,technician,single,university.degree,no,no,no,telephone,no
female,37,admin.,married,high.school,no,no,no,telephone,no
female,32,technician,single,professional.course,no,yes,no,telephone,no
male,35,blue-collar,married,basic.9y,no,yes,no,telephone,no
male,28,blue-collar,single,basic.9y,no,yes,no,telephone,no
male,32,admin.,married,university.degree,yes,yes,no,telephone,no
female,42,technician,married,basic.9y,no,yes,no,telephone,yes
female,35,blue-collar,married,basic.4y,yes,yes,no,telephone,no
male,45,admin.,married,unknown,no,no,no,telephone,no
male,39,self-employed,married,basic.4y,yes,yes,no,telephone,no
male,38,management,married,basic.6y,yes,yes,no,telephone,no
male,52,entrepreneur,married,basic.9y,yes,yes,no,telephone,no
female,41,self-employed,married,basic.9y,no,yes,no,telephone,no
female,45,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,32,services,married,high.school,yes,no,no,telephone,yes
female,38,housemaid,married,university.degree,no,no,no,telephone,no
female,53,blue-collar,married,basic.9y,no,no,no,telephone,no
female,37,blue-collar,divorced,basic.9y,no,yes,yes,telephone,no
male,48,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,36,blue-collar,married,basic.4y,no,no,no,telephone,no
male,31,services,married,high.school,yes,yes,no,telephone,no
male,31,services,single,high.school,no,yes,no,telephone,no
male,35,admin.,married,basic.9y,no,no,yes,telephone,no
female,54,management,married,university.degree,no,no,no,telephone,no
male,45,self-employed,married,professional.course,yes,yes,yes,telephone,no
male,41,blue-collar,married,basic.9y,yes,yes,no,telephone,no
male,34,admin.,married,university.degree,no,no,no,telephone,no
male,41,blue-collar,married,high.school,yes,yes,yes,telephone,no
male,35,blue-collar,married,basic.9y,no,no,no,telephone,no
male,33,services,married,basic.4y,no,yes,yes,telephone,no
male,51,services,single,high.school,yes,no,no,telephone,no
female,41,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,40,services,married,unknown,yes,yes,no,telephone,no
male,50,technician,married,high.school,no,no,no,telephone,no
female,33,blue-collar,married,basic.9y,no,no,yes,telephone,no
male,37,admin.,married,high.school,no,no,no,telephone,no
male,48,services,married,basic.6y,yes,no,yes,telephone,no
male,54,retired,married,university.degree,yes,no,no,telephone,no
female,34,technician,married,basic.6y,yes,no,no,telephone,no
male,35,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,38,self-employed,married,university.degree,yes,no,no,telephone,no
male,37,blue-collar,single,high.school,no,yes,no,telephone,no
male,40,housemaid,single,university.degree,no,no,no,telephone,no
female,56,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,35,blue-collar,divorced,basic.9y,no,no,no,telephone,no
female,35,technician,single,high.school,no,no,no,telephone,no
female,44,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,59,blue-collar,married,basic.4y,yes,yes,yes,telephone,no
male,39,housemaid,married,basic.4y,no,yes,no,telephone,no
male,39,admin.,married,university.degree,no,no,no,telephone,no
female,53,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,41,unemployed,married,basic.9y,yes,yes,no,telephone,no
female,30,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,47,services,married,basic.6y,no,no,no,telephone,no
female,32,admin.,married,high.school,no,yes,no,telephone,no
male,54,housemaid,divorced,basic.4y,no,yes,no,telephone,no
male,56,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,50,entrepreneur,married,basic.9y,no,yes,no,telephone,no
male,26,blue-collar,married,high.school,no,yes,no,telephone,no
female,26,admin.,married,high.school,yes,yes,no,telephone,no
female,36,technician,married,high.school,no,yes,no,telephone,no
male,47,technician,single,unknown,no,yes,no,telephone,no
male,36,services,divorced,university.degree,no,no,no,telephone,no
male,37,management,single,university.degree,no,no,no,telephone,no
male,51,admin.,divorced,high.school,yes,no,no,telephone,no
male,36,unknown,single,basic.6y,yes,no,no,telephone,yes
male,21,technician,single,professional.course,no,no,no,telephone,no
female,39,management,married,university.degree,no,no,no,telephone,no
female,39,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,29,admin.,married,professional.course,no,yes,no,telephone,yes
male,45,services,divorced,high.school,no,no,no,telephone,no
male,37,blue-collar,divorced,basic.9y,yes,no,no,telephone,no
male,40,admin.,single,university.degree,no,yes,no,telephone,no
female,25,admin.,married,unknown,no,no,no,telephone,no
female,49,blue-collar,married,basic.6y,yes,yes,no,telephone,no
male,44,services,married,basic.9y,yes,no,no,telephone,no
female,34,blue-collar,married,high.school,no,yes,no,telephone,no
male,39,technician,divorced,professional.course,no,no,no,telephone,no
male,56,services,married,high.school,yes,yes,no,telephone,no
male,41,technician,married,professional.course,no,yes,no,telephone,no
female,32,unknown,single,basic.6y,no,yes,no,telephone,no
female,30,housemaid,married,high.school,yes,no,no,telephone,no
male,33,admin.,married,university.degree,no,yes,no,telephone,no
male,46,admin.,married,high.school,no,yes,no,telephone,no
female,34,management,married,university.degree,no,no,no,telephone,yes
male,57,blue-collar,married,basic.4y,yes,no,no,telephone,no
male,29,admin.,married,professional.course,no,no,no,telephone,no
male,43,blue-collar,married,basic.4y,yes,yes,yes,telephone,no
male,53,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,53,blue-collar,married,basic.9y,no,no,no,telephone,no
male,50,services,divorced,basic.4y,yes,yes,no,telephone,no
male,44,services,married,unknown,no,no,no,telephone,no
female,28,admin.,single,unknown,no,no,no,telephone,no
male,39,admin.,single,high.school,no,no,no,telephone,no
female,48,services,married,high.school,yes,yes,no,telephone,no
male,55,unemployed,married,basic.4y,yes,yes,no,telephone,no
male,43,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,44,services,divorced,high.school,no,no,no,telephone,no
female,33,admin.,married,high.school,no,no,no,telephone,no
female,43,blue-collar,married,basic.4y,no,yes,no,telephone,no
female,39,unemployed,married,professional.course,no,yes,no,telephone,no
male,29,admin.,single,university.degree,no,no,no,telephone,no
male,46,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,36,blue-collar,divorced,high.school,no,no,no,telephone,no
male,47,management,married,university.degree,no,yes,no,telephone,no
male,41,admin.,single,university.degree,no,yes,yes,telephone,no
male,47,blue-collar,divorced,basic.9y,yes,no,no,telephone,no
female,42,management,married,university.degree,no,no,no,telephone,no
female,36,blue-collar,divorced,high.school,no,yes,no,telephone,no
male,42,blue-collar,married,basic.6y,yes,no,no,telephone,no
female,39,entrepreneur,married,high.school,no,no,no,telephone,no
male,45,services,married,high.school,no,yes,no,telephone,no
male,48,blue-collar,married,basic.9y,no,no,no,telephone,no
male,37,admin.,married,university.degree,no,no,no,telephone,yes
female,30,self-employed,single,university.degree,no,no,no,telephone,yes
male,56,technician,married,basic.4y,yes,no,no,telephone,no
male,28,admin.,married,university.degree,no,no,no,telephone,no
male,33,management,married,high.school,no,yes,yes,telephone,no
male,28,admin.,married,university.degree,no,no,no,telephone,no
female,29,admin.,married,university.degree,no,no,no,telephone,no
male,36,blue-collar,married,basic.6y,no,no,no,telephone,no
female,35,services,single,high.school,yes,no,yes,telephone,no
female,49,self-employed,married,professional.course,no,no,yes,telephone,no
male,22,technician,married,basic.9y,yes,no,no,telephone,no
male,48,blue-collar,married,basic.9y,yes,no,yes,telephone,no
male,53,blue-collar,divorced,basic.4y,no,no,no,telephone,yes
male,32,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,48,admin.,divorced,high.school,no,no,no,telephone,no
female,52,admin.,divorced,basic.6y,no,yes,no,telephone,no
female,33,blue-collar,married,basic.9y,no,yes,no,telephone,no
female,30,blue-collar,married,basic.6y,no,yes,no,telephone,no
female,29,admin.,single,university.degree,no,yes,no,telephone,no
female,31,services,married,high.school,no,yes,no,telephone,no
female,38,blue-collar,single,basic.9y,no,no,no,telephone,no
female,45,entrepreneur,married,high.school,no,yes,no,telephone,no
female,36,blue-collar,married,basic.6y,yes,yes,no,telephone,no
male,45,technician,single,professional.course,no,yes,no,telephone,no
female,31,admin.,single,university.degree,no,yes,no,telephone,no
male,47,management,married,basic.4y,yes,no,no,telephone,no
male,27,admin.,married,basic.9y,no,no,no,telephone,no
female,37,blue-collar,married,basic.6y,yes,yes,no,telephone,no
female,49,blue-collar,married,basic.9y,yes,no,no,telephone,no
female,37,blue-collar,married,basic.6y,yes,no,no,telephone,no
female,42,blue-collar,married,basic.6y,yes,yes,no,telephone,no
male,54,admin.,married,university.degree,no,no,no,telephone,no
male,52,technician,married,high.school,no,yes,no,telephone,no
female,43,technician,married,professional.course,no,yes,no,telephone,no
female,30,blue-collar,single,basic.6y,yes,yes,no,telephone,no
male,43,admin.,married,high.school,no,yes,no,telephone,no
female,52,technician,married,high.school,no,no,no,telephone,no
male,38,blue-collar,married,basic.4y,yes,no,no,telephone,no
female,38,blue-collar,married,basic.6y,no,yes,no,telephone,no
female,32,blue-collar,married,basic.6y,no,no,no,telephone,no
male,47,unknown,married,unknown,yes,yes,no,telephone,no
male,34,services,married,high.school,no,yes,yes,telephone,no
male,33,technician,married,university.degree,yes,no,no,telephone,no
female,42,technician,married,professional.course,yes,no,no,telephone,no
female,57,technician,single,professional.course,yes,yes,no,telephone,no
male,24,self-employed,single,university.degree,no,yes,no,telephone,no
female,33,admin.,single,university.degree,no,yes,no,telephone,no
female,39,housemaid,married,university.degree,no,no,no,telephone,no
female,45,blue-collar,married,basic.6y,yes,yes,no,telephone,no
female,31,blue-collar,married,basic.6y,no,no,no,telephone,no
female,31,services,married,basic.9y,no,yes,no,telephone,no
male,48,blue-collar,married,basic.9y,no,no,no,telephone,no
male,37,admin.,single,high.school,no,no,no,telephone,no
female,32,admin.,single,high.school,no,yes,no,telephone,yes
male,51,admin.,married,basic.6y,yes,yes,no,telephone,no
female,33,admin.,married,university.degree,no,no,no,telephone,no
male,60,technician,divorced,professional.course,yes,no,no,telephone,no
female,25,services,single,high.school,no,no,no,telephone,no
male,50,blue-collar,married,basic.6y,yes,yes,yes,telephone,no
female,33,admin.,single,university.degree,no,yes,yes,telephone,no
female,44,admin.,married,university.degree,yes,yes,no,telephone,no
male,43,entrepreneur,married,university.degree,yes,no,no,telephone,yes
male,57,retired,married,basic.4y,yes,no,no,telephone,no
male,58,management,married,university.degree,no,yes,no,telephone,no
male,50,blue-collar,married,basic.6y,yes,no,no,telephone,yes
female,41,blue-collar,married,basic.6y,yes,yes,no,telephone,no
male,34,blue-collar,single,basic.9y,yes,no,no,telephone,no
male,31,blue-collar,married,basic.9y,no,yes,no,telephone,yes
male,31,technician,single,unknown,no,no,no,telephone,no
female,55,technician,married,high.school,yes,no,no,telephone,no
female,45,blue-collar,married,basic.9y,no,no,no,telephone,no
female,48,admin.,divorced,high.school,no,yes,yes,telephone,yes
female,44,unemployed,single,basic.4y,no,no,no,telephone,no
male,30,admin.,single,university.degree,no,yes,no,telephone,no
male,57,blue-collar,married,unknown,yes,no,no,telephone,yes
male,39,blue-collar,married,professional.course,no,no,no,telephone,no
female,52,blue-collar,divorced,high.school,no,no,no,telephone,no
male,36,services,single,unknown,no,yes,yes,telephone,no
male,41,self-employed,married,high.school,no,yes,yes,telephone,no
male,43,unemployed,married,university.degree,yes,yes,no,telephone,no
male,39,entrepreneur,married,university.degree,no,yes,no,telephone,no
male,44,blue-collar,divorced,high.school,no,yes,no,telephone,no
male,40,entrepreneur,married,basic.9y,no,yes,no,telephone,no
female,49,technician,divorced,unknown,no,no,no,telephone,no
female,42,admin.,divorced,high.school,no,yes,yes,telephone,no
male,56,blue-collar,married,basic.4y,yes,yes,no,telephone,no
female,31,housemaid,married,basic.4y,yes,no,no,telephone,no
female,52,unemployed,married,unknown,no,yes,no,telephone,no
female,33,management,single,university.degree,no,no,no,telephone,no
female,33,admin.,married,university.degree,no,yes,yes,telephone,no
female,45,unknown,married,unknown,yes,no,no,telephone,no
female,51,entrepreneur,married,professional.course,no,no,no,telephone,no
female,36,technician,married,professional.course,no,no,no,telephone,no
female,45,technician,married,university.degree,no,no,no,telephone,no
male,42,services,married,high.school,no,no,no,telephone,no
male,43,services,single,unknown,yes,yes,no,telephone,no
male,42,blue-collar,married,unknown,no,no,no,telephone,no
female,36,admin.,married,professional.course,no,no,no,telephone,no
female,42,blue-collar,divorced,basic.9y,no,yes,no,telephone,no
female,48,admin.,married,professional.course,no,no,no,telephone,no
male,35,admin.,married,university.degree,no,yes,no,telephone,no
male,30,blue-collar,single,basic.4y,yes,no,no,telephone,no
male,31,admin.,married,university.degree,no,no,no,telephone,no
female,40,technician,married,basic.9y,no,no,no,telephone,no
female,26,admin.,single,high.school,no,no,no,telephone,no
female,47,blue-collar,divorced,basic.4y,no,no,yes,telephone,no
female,41,housemaid,married,basic.4y,yes,no,no,telephone,no
female,40,services,married,high.school,no,yes,no,telephone,no
male,37,blue-collar,married,basic.9y,no,no,no,telephone,no
male,38,blue-collar,married,basic.6y,yes,yes,no,telephone,no
male,49,blue-collar,married,basic.9y,yes,no,no,telephone,no
male,50,blue-collar,divorced,basic.4y,no,yes,no,telephone,no
female,37,admin.,married,basic.9y,no,no,no,telephone,no
female,55,admin.,divorced,high.school,no,no,no,telephone,no
female,50,blue-collar,divorced,basic.4y,no,no,no,telephone,no
female,38,admin.,single,university.degree,no,no,yes,telephone,no
female,33,entrepreneur,married,high.school,no,yes,no,telephone,no
